,Unnamed: 0,genre_ids,id,original_language,popularity,release_date,vote_average,vote_count,tconst,primary_title,start_year,runtime_minutes,G1,G2,G3,id_budg,release_date_budg,production_budget,domestic_gross,worldwide_gross,release_month
A Hologram for the King,17537,"[35, 18]",270010,en,11.055,2016-04-22,5.9,589,tt2980210,A Hologram for the King,2016.0,98.0,Comedy,Drama,Romance,47,"Apr 22, 2016",35000000,4212494,11846010,4
A Little Bit of Heaven,2752,"[35, 18, 10749]",45156,en,7.87,2011-02-03,6.3,333,tt1440161,A Little Bit of Heaven,2011.0,106.0,Comedy,Drama,Fantasy,39,"May 4, 2012",12500000,10011,1100287,2
A Lonely Place to Die,2667,"[12, 28, 53, 80]",81390,en,9.104,2011-04-09,6.1,251,tt1422136,A Lonely Place to Die,2011.0,99.0,Adventure,Crime,Thriller,56,"Mar 20, 2012",4000000,0,442550,4
A Monster Calls,17535,"[18, 14]",258230,en,11.128,2016-12-23,7.1,1918,tt3416532,A Monster Calls,2016.0,108.0,Animation,Drama,Fantasy,41,"Jan 6, 2017",43000000,3740823,46414530,12
A Most Violent Year,11115,"[80, 18, 53]",241239,en,12.270999999999999,2014-12-31,6.6,792,tt2937898,A Most Violent Year,2014.0,125.0,Crime,Drama,Thriller,68,"Dec 31, 2014",20000000,5749134,8846875,12
A Most Wanted Man,11166,[53],157849,en,10.267000000000001,2014-07-25,6.5,784,tt1972571,A Most Wanted Man,2014.0,122.0,Crime,Drama,Thriller,76,"Jul 25, 2014",15000000,17237855,36068890,7
A Nightmare on Elm Street,144,"[27, 9648, 53]",23437,en,9.795,2010-04-30,5.5,1408,tt1179056,A Nightmare on Elm Street,2010.0,95.0,Crime,Drama,Horror,49,"Apr 30, 2010",35000000,63075011,117729621,4
A Nightmare on Elm Street,144,"[27, 9648, 53]",23437,en,9.795,2010-04-30,5.5,1408,tt1179056,A Nightmare on Elm Street,2010.0,95.0,Crime,Drama,Horror,17,"Nov 9, 1984",1800000,25504513,25504513,4
A Quiet Place,23847,"[18, 27, 53, 878]",447332,en,29.154,2018-04-06,7.3,5848,tt6347308,A Quiet Place,2016.0,80.0,Documentary,,,66,"Apr 6, 2018",17000000,188024361,334522294,4
A Quiet Place,23847,"[18, 27, 53, 878]",447332,en,29.154,2018-04-06,7.3,5848,tt6644200,A Quiet Place,2018.0,90.0,Drama,Horror,Sci-Fi,66,"Apr 6, 2018",17000000,188024361,334522294,4
